date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:16	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:16%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fnet-developer-with-azure-contractor%2F	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embede334	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:17	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:17%20GMT	https://mentormate.com/bg/?p=44369	C:/My%20Web%20Sites/testProject/mentormate.com/bg/index0389.html	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:17	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:17%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fnet-developer-with-azure-contractor%2F&format=xml	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embed839c	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:17	58175/58175	---MC-	200	added ('OK')	application/x-javascript	etag:W/%22e33f-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649154433.js	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649154433.js	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:18	113731/113731	---M--	200	added ('OK')	image/jpeg	etag:%2238137-5d2146529865e%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/12/Untitled-1.jpg	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/12/Untitled-1.jpg	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:18	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:18%20GMT	https://mentormate.com/bg/careers/net-developer-with-azure-contractor/?filters[0][name]=job_type&filters[0][value]=hybrid&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/net-developer-with-azure-contractor/indexbf0f.html	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:18	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:18%20GMT	https://mentormate.com/bg/careers/net-developer-with-azure-contractor/?filters[0][name]=job_type&filters[0][value]=remote&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/net-developer-with-azure-contractor/index0969.html	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
14:14:18	79494/79494	---MC-	200	added ('OK')	text/css	etag:W/%2213686-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155342.css	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155342.css	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:19	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:19%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fsoftware-talent-trainer%2F	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embed4d83	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:19	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:19%20GMT	https://mentormate.com/bg/?p=44354	C:/My%20Web%20Sites/testProject/mentormate.com/bg/index2a88.html	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:20	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:20%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fsoftware-talent-trainer%2F&format=xml	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embedd97a	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:22	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:20%20GMT	https://mentormate.com/bg/careers/mid-senior-python-software-engineer/	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/mid-senior-python-software-engineer/index.html	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:22	58175/58175	---MC-	200	added ('OK')	application/x-javascript	etag:W/%22e33f-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155342.js	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155342.js	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:22	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:21%20GMT	https://mentormate.com/bg/careers/software-talent-trainer/?filters[0][name]=job_type&filters[0][value]=hybrid&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/software-talent-trainer/indexbf0f.html	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:22	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:21%20GMT	https://mentormate.com/bg/careers/software-talent-trainer/?filters[0][name]=job_type&filters[0][value]=remote&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/software-talent-trainer/index0969.html	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:22	71562/71562	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2010:34:48%20GMT	https://mentormate.com/bg/careers/senior-node-js-developers/	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/senior-node-js-developers/index.html	(from https://mentormate.com/bg/careers/software-talent-trainer/)
14:14:23	79494/79494	---MC-	200	added ('OK')	text/css	etag:W/%2213686-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155886.css	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155886.css	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:24	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:24%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fteam%2Fanna-krivova%2F	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embed88e1	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:24	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:24%20GMT	https://mentormate.com/bg/?p=40499	C:/My%20Web%20Sites/testProject/mentormate.com/bg/indexc5d6.html	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:24	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:24%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fteam%2Fanna-krivova%2F&format=xml	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embedaf25	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:25	1543131/1543131	---M--	200	added ('OK')	image/png	etag:%22178bdb-5cea05dc787c0%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/06/Group-618.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/06/Group-618.png	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:26	225161/225161	---M--	200	added ('OK')	image/png	etag:%2236f89-5cea05df54e80%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/06/Group-618-415x415.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/06/Group-618-415x415.png	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Apr%202022%2011:14:26%20GMT	http://mentormate.com/bg/blog/learn-about-devcamp-join-program/	C:/My%20Web%20Sites/testProject/mentormate.com/bg/blog/learn-about-devcamp-join-program/index.html	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:27	58175/58175	---MC-	200	added ('OK')	application/x-javascript	etag:W/%22e33f-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155886.js	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155886.js	(from https://mentormate.com/bg/team/anna-krivova/)
14:14:27	117344/117344	---M--	200	added ('OK')	image/jpeg	etag:%2238258-5cec5cde88480%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/10/LAMPFE-practice.jpg	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/10/LAMPFE-practice.jpg	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:28	79494/79494	---MC-	200	added ('OK')	text/css	etag:W/%2213686-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649153509.css	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649153509.css	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:28	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:28%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fruby-on-rails-developer%2F	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embedf32d	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:28	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:28%20GMT	https://mentormate.com/bg/?p=36957	C:/My%20Web%20Sites/testProject/mentormate.com/bg/index8296.html	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:29	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:29%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fruby-on-rails-developer%2F&format=xml	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embed847a	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:30	58175/58175	---MC-	200	added ('OK')	application/x-javascript	etag:W/%22e33f-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649153509.js	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649153509.js	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:30	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:30%20GMT	https://mentormate.com/bg/careers/ruby-on-rails-developer/?filters[0][name]=job_type&filters[0][value]=hybrid&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/ruby-on-rails-developer/indexbf0f.html	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:30	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:30%20GMT	https://mentormate.com/bg/careers/ruby-on-rails-developer/?filters[0][name]=job_type&filters[0][value]=remote&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/ruby-on-rails-developer/index0969.html	(from https://mentormate.com/bg/careers/ruby-on-rails-developer/)
14:14:31	1637748/1637748	---M--	200	added ('OK')	image/png	etag:%2218fd74-5ceb787e7b680%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2020/08/Group-662-1.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2020/08/Group-662-1.png	(from https://mentormate.com/bg/team/nikola-donev/)
